Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture;*
0130528D;Ecole ̩l̩mentaire La Blancarde;ECOLE ELEMENTAIRE  PUBLIQUE;BLANCARDE (LA);Public;74 rue Beau;;;13012;MARSEILLE;Marseille 12e  Arrondissement;895632.5;6247613.4;EPSG:2154;4330081582359540,00;5,40993E+15;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13212;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.30081582359547,5.409930016788037;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130553F;Ecole ̩l̩mentaire Clair Soleil;ECOLE ELEMENTAIRE  PUBLIQUE;CLAIR SOLEIL;Public;Boulevard Charles Moretti;;;13014;MARSEILLE;Marseille 14e  Arrondissement;893512.0;6250095.0;EPSG:2154;4332370843545740,00;5,38475E+15;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13214;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.32370843545745,5.384747226636487;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130554G;Ecole ̩l̩mentaire Coin Joli;ECOLE ELEMENTAIRE  PUBLIQUE;COIN JOLI;Public;12 avenue Alfred Nicolas;;;13009;MARSEILLE;Marseille  9e  Arrondissement;895126.9;6243621.1;EPSG:2154;4326505815403180,00;5,40221E+15;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13209;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.26505815403189,5.402209858431614;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130571A;Ecole ̩l̩mentaire Grand Saint Giniez;ECOLE ELEMENTAIRE  PUBLIQUE;GRAND SAINT GINIEZ;Public;257 avenue de Mazargues;;;13008;MARSEILLE;Marseille  8e  Arrondissement;894399.4;6243328.4;EPSG:2154;43262625093270400,00;5,39315E+15;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13208;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.262625093270415,5.393149912823228;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130578H;Ecole ̩l̩mentaire Leverrier;ECOLE ELEMENTAIRE  PUBLIQUE;LEVERRIER;Public;6 place Leverrier;;;13004;MARSEILLE;Marseille  4e  Arrondissement;894283.0;6248187.0;EPSG:2154;4330634254803060,00;5,39353E+15;MANUEL;BATIMENT;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13204;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.30634254803065,5.393530322690156;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130583N;Ecole ̩l̩mentaire  Malpass̩;ECOLE ELEMENTAIRE  PUBLIQUE;MALPASSE;Public;16 rue du Docteur Grenier;;;13013;MARSEILLE;Marseille 13e  Arrondissement;896005.6;6249835.6;EPSG:2154;4332069428664940,00;5,41536E+15;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13213;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.32069428664941,5.415360336125633;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130591X;Ecole ̩l̩mentaire La Milli̬re;ECOLE ELEMENTAIRE  PUBLIQUE;MILLIERE (LA);Public;82 boulevard Albert Sauze;;;13011;MARSEILLE;Marseille 11e  Arrondissement;903113.0;6245723.0;EPSG:2154;43281726434555600,00;5,50128E+15;MANUEL;BATIMENT;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13211;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.281726434555694,5.501281810773537;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130606N;Ecole elementaire Pointe Rouge;ECOLE ELEMENTAIRE  PUBLIQUE;POINTE ROUGE;Public;10 boulevard PIOT;;;13008;MARSEILLE;Marseille  8e  Arrondissement;892800.1;6241047.2;EPSG:2154;4324254836659450,00;5,37263E+15;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13208;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.24254836659454,5.372630101998091;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130618B;Ecole ̩l̩mentaire La Rose Saint Th̩odore;ECOLE ELEMENTAIRE  PUBLIQUE;ROSE SAINT THEODORE (LA);Public;5 all̩e des Chardonnerets;;;13013;MARSEILLE;Marseille 13e  Arrondissement;897439.8;6250960.9;EPSG:2154;43330416468080200,00;5,43345E+15;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13213;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.330416468080244,5.433449929789991;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130619C;Ecole ̩l̩mentaire  La Roseraie;ECOLE ELEMENTAIRE  PUBLIQUE;ROSERAIE (LA);Public;6 rue Pierre Mouren;;;13007;MARSEILLE;Marseille  7e  Arrondissement;890968.3;6245465.0;EPSG:2154;4328276332612180,00;5,35172E+15;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13207;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.28276332612182,5.351719745309129;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
